Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV AUC,CV Std
Logistic Regression,0.7825,0.4771986970684039,0.7199017199017199,0.5739471106758081,0.8403318572810099,0.8376034147507572,0.008660251547456727
Random Forest,0.833,0.5737373737373738,0.6977886977886978,0.6297117516629712,0.8648756614858311,0.920068437953614,0.006795476650391487
XGBoost,0.816,0.5363128491620112,0.7076167076167076,0.6101694915254238,0.8591935541088083,0.9242357104658069,0.006787679742065587
